Library;Function
/lib/x86_64-linux-gnu/libstdc++.so.6;tolower@GLIBC_2.2.5
/lib/x86_64-linux-gnu/libm.so.6;atan2@GLIBC_2.2.5
/lib/x86_64-linux-gnu/libm.so.6;cos@GLIBC_2.2.5
/lib/x86_64-linux-gnu/libm.so.6;sin@GLIBC_2.2.5
/lib/x86_64-linux-gnu/libm.so.6;sqrt@GLIBC_2.2.5
/lib/x86_64-linux-gnu/libc.so.6;__isoc23_fscanf@GLIBC_2.38
/lib/x86_64-linux-gnu/libc.so.6;__isoc23_sscanf@GLIBC_2.38
/lib/x86_64-linux-gnu/libc.so.6;__libc_start_main@GLIBC_2.34
/lib/x86_64-linux-gnu/libc.so.6;__stack_chk_fail@GLIBC_2.4
/lib/x86_64-linux-gnu/libc.so.6;atof@GLIBC_2.2.5
/lib/x86_64-linux-gnu/libc.so.6;atoi@GLIBC_2.2.5
/lib/x86_64-linux-gnu/libc.so.6;clock@GLIBC_2.2.5
/lib/x86_64-linux-gnu/libc.so.6;exit@GLIBC_2.2.5
/lib/x86_64-linux-gnu/libc.so.6;fclose@GLIBC_2.2.5
/lib/x86_64-linux-gnu/libc.so.6;feof@GLIBC_2.2.5
/lib/x86_64-linux-gnu/libc.so.6;fflush@GLIBC_2.2.5
/lib/x86_64-linux-gnu/libc.so.6;fgetc@GLIBC_2.2.5
/lib/x86_64-linux-gnu/libc.so.6;fopen@GLIBC_2.2.5
/lib/x86_64-linux-gnu/libc.so.6;fprintf@GLIBC_2.2.5
/lib/x86_64-linux-gnu/libc.so.6;fputc@GLIBC_2.2.5
/lib/x86_64-linux-gnu/libc.so.6;fputs@GLIBC_2.2.5
/lib/x86_64-linux-gnu/libc.so.6;fread@GLIBC_2.2.5
/lib/x86_64-linux-gnu/libc.so.6;free@GLIBC_2.2.5
/lib/x86_64-linux-gnu/libc.so.6;freopen@GLIBC_2.2.5
/lib/x86_64-linux-gnu/libc.so.6;fseek@GLIBC_2.2.5
/lib/x86_64-linux-gnu/libc.so.6;ftell@GLIBC_2.2.5
/lib/x86_64-linux-gnu/libc.so.6;fwrite@GLIBC_2.2.5
/lib/x86_64-linux-gnu/libc.so.6;getchar@GLIBC_2.2.5
/lib/x86_64-linux-gnu/libc.so.6;localtime@GLIBC_2.2.5
/lib/x86_64-linux-gnu/libc.so.6;malloc@GLIBC_2.2.5
/lib/x86_64-linux-gnu/libc.so.6;memmove@GLIBC_2.2.5
/lib/x86_64-linux-gnu/libc.so.6;printf@GLIBC_2.2.5
/lib/x86_64-linux-gnu/libc.so.6;putchar@GLIBC_2.2.5
/lib/x86_64-linux-gnu/libc.so.6;puts@GLIBC_2.2.5
/lib/x86_64-linux-gnu/libc.so.6;rand@GLIBC_2.2.5
/lib/x86_64-linux-gnu/libc.so.6;rewind@GLIBC_2.2.5
/lib/x86_64-linux-gnu/libc.so.6;sin@GLIBC_2.2.5
/lib/x86_64-linux-gnu/libc.so.6;sprintf@GLIBC_2.2.5
/lib/x86_64-linux-gnu/libc.so.6;strcat@GLIBC_2.2.5
/lib/x86_64-linux-gnu/libc.so.6;strcpy@GLIBC_2.2.5
/lib/x86_64-linux-gnu/libc.so.6;strftime@GLIBC_2.2.5
/lib/x86_64-linux-gnu/libc.so.6;strtok@GLIBC_2.2.5
/lib/x86_64-linux-gnu/libc.so.6;time@GLIBC_2.2.5
/lib/x86_64-linux-gnu/libc.so.6;tolower@GLIBC_2.2.5
/lib/x86_64-linux-gnu/libc.so.6;vsprintf@GLIBC_2.2.5
/lib/x86_64-linux-gnu/ld-linux-x86-64.so.2;free@GLIBC_2.2.5
/lib/x86_64-linux-gnu/ld-linux-x86-64.so.2;printf@GLIBC_2.2.5
/lib/x86_64-linux-gnu/libgcc_s.so.1;_Unwind_Resume@GCC_3.0
/lib/x86_64-linux-gnu/libgcc_s.so.1;sin@GLIBC_2.2.5
