Library;Function
/lib/x86_64-linux-gnu/libc.so.6;memmove@GLIBC_2.2.5
/lib/x86_64-linux-gnu/libc.so.6;sched_yield@GLIBC_2.2.5
/lib/x86_64-linux-gnu/libc.so.6;setlocale@GLIBC_2.2.5
/lib/x86_64-linux-gnu/libc.so.6;strdup@GLIBC_2.2.5
/lib/x86_64-linux-gnu/ld-linux-x86-64.so.2;free@GLIBC_2.2.5
/lib/x86_64-linux-gnu/libtbb.so.12;_ZN3tbb6detail2r110deallocateERNS0_2d117small_object_poolEPvmRKNS2_14execution_dataE
/lib/x86_64-linux-gnu/libtbb.so.12;_ZN3tbb6detail2r110initializeERNS0_2d115task_arena_baseE
/lib/x86_64-linux-gnu/libtbb.so.12;_ZN3tbb6detail2r110initializeERNS0_2d118task_group_contextE
/lib/x86_64-linux-gnu/libtbb.so.12;_ZN3tbb6detail2r114execution_slotEPKNS0_2d114execution_dataE
/lib/x86_64-linux-gnu/libtbb.so.12;_ZN3tbb6detail2r114notify_waitersEm
/lib/x86_64-linux-gnu/libtbb.so.12;_ZN3tbb6detail2r115max_concurrencyEPKNS0_2d115task_arena_baseE
/lib/x86_64-linux-gnu/libtbb.so.12;_ZN3tbb6detail2r116execute_and_waitERNS0_2d14taskERNS2_18task_group_contextERNS2_12wait_contextES6_
/lib/x86_64-linux-gnu/libtbb.so.12;_ZN3tbb6detail2r122cancel_group_executionERNS0_2d118task_group_contextE
/lib/x86_64-linux-gnu/libtbb.so.12;_ZN3tbb6detail2r124cache_aligned_deallocateEPv
/lib/x86_64-linux-gnu/libtbb.so.12;_ZN3tbb6detail2r128is_group_execution_cancelledERNS0_2d118task_group_contextE
/lib/x86_64-linux-gnu/libtbb.so.12;_ZN3tbb6detail2r14waitERNS0_2d112wait_contextERNS2_18task_group_contextE
/lib/x86_64-linux-gnu/libtbb.so.12;_ZN3tbb6detail2r15resetERNS0_2d118task_group_contextE
/lib/x86_64-linux-gnu/libtbb.so.12;_ZN3tbb6detail2r15spawnERNS0_2d14taskERNS2_18task_group_contextE
/lib/x86_64-linux-gnu/libtbb.so.12;_ZN3tbb6detail2r17destroyERNS0_2d118task_group_contextE
/lib/x86_64-linux-gnu/libtbb.so.12;_ZN3tbb6detail2r17executeERNS0_2d115task_arena_baseERNS2_13delegate_baseE
/lib/x86_64-linux-gnu/libtbb.so.12;_ZN3tbb6detail2r18allocateERPNS0_2d117small_object_poolEm
/lib/x86_64-linux-gnu/libtbb.so.12;_ZN3tbb6detail2r18allocateERPNS0_2d117small_object_poolEmRKNS2_14execution_dataE
/lib/x86_64-linux-gnu/libtbb.so.12;_ZN3tbb6detail2r19terminateERNS0_2d115task_arena_baseE
/lib/x86_64-linux-gnu/libtbb.so.12;malloc@GLIBC_2.2.5
/lib/x86_64-linux-gnu/libgcc_s.so.1;_Unwind_Resume@GCC_3.0
